Date,Open,High,Low,Close
2022-10-08 12:00,19534.21000000,19543.23000000,19415.00000000,19487.88000000
2022-10-08 16:00,19487.88000000,19535.91000000,19438.99000000,19468.03000000
2022-10-08 20:00,19467.49000000,19480.00000000,19237.14000000,19417.96000000
2022-10-09 00:00,19416.52000000,19455.00000000,19327.77000000,19366.58000000
2022-10-09 04:00,19365.35000000,19439.87000000,19316.04000000,19407.96000000
2022-10-09 08:00,19407.96000000,19558.00000000,19373.49000000,19468.35000000
2022-10-09 12:00,19468.35000000,19550.00000000,19460.80000000,19535.77000000
2022-10-09 16:00,19535.77000000,19555.89000000,19353.00000000,19468.96000000
2022-10-09 20:00,19468.73000000,19500.00000000,19368.10000000,19439.02000000
2022-10-10 00:00,19439.96000000,19525.00000000,19401.00000000,19452.99000000
2022-10-10 04:00,19452.97000000,19477.00000000,19368.08000000,19412.25000000
2022-10-10 08:00,19412.25000000,19419.78000000,19107.00000000,19331.62000000
2022-10-10 12:00,19333.02000000,19441.99000000,19221.41000000,19269.02000000
2022-10-10 16:00,19269.02000000,19358.76000000,19098.21000000,19211.59000000
2022-10-10 20:00,19211.59000000,19282.14000000,19020.25000000,19131.87000000
2022-10-11 00:00,19131.87000000,19133.52000000,18950.01000000,19044.74000000
2022-10-11 04:00,19044.19000000,19117.89000000,19010.00000000,19084.10000000
2022-10-11 08:00,19082.28000000,19158.93000000,19031.23000000,19153.68000000
2022-10-11 12:00,19153.68000000,19268.09000000,18860.00000000,19147.60000000
2022-10-11 16:00,19147.60000000,19185.52000000,18918.01000000,18999.25000000
2022-10-11 20:00,18997.66000000,19064.99000000,18986.62000000,19060.00000000
2022-10-12 00:00,19060.00000000,19132.93000000,19024.65000000,19048.73000000
2022-10-12 04:00,19049.09000000,19203.14000000,19041.90000000,19112.41000000
2022-10-12 08:00,19111.50000000,19201.82000000,19089.51000000,19114.62000000
2022-10-12 12:00,19114.62000000,19182.18000000,18965.88000000,19137.32000000
2022-10-12 16:00,19137.36000000,19179.26000000,19041.74000000,19137.18000000
2022-10-12 20:00,19137.29000000,19238.31000000,19131.55000000,19155.53000000
2022-10-13 00:00,19155.10000000,19175.13000000,19017.80000000,19089.16000000
2022-10-13 04:00,19089.16000000,19112.68000000,18950.00000000,19005.29000000
2022-10-13 08:00,19005.29000000,19038.90000000,18566.66000000,18753.20000000
2022-10-13 12:00,18754.09000000,19049.99000000,18190.00000000,18958.59000000
2022-10-13 16:00,18958.59000000,19513.79000000,18895.08000000,19369.94000000
2022-10-13 20:00,19369.94000000,19494.56000000,19328.72000000,19375.13000000
2022-10-14 00:00,19375.58000000,19951.87000000,19338.07000000,19816.85000000
2022-10-14 04:00,19816.85000000,19849.79000000,19568.33000000,19642.35000000
2022-10-14 08:00,19642.20000000,19748.54000000,19530.00000000,19596.25000000
2022-10-14 12:00,19596.25000000,19854.48000000,19301.00000000,19358.59000000
2022-10-14 16:00,19358.59000000,19403.60000000,19106.16000000,19168.18000000
2022-10-14 20:00,19168.18000000,19217.64000000,19070.37000000,19176.93000000
2022-10-15 00:00,19176.93000000,19227.68000000,19133.24000000,19200.99000000
2022-10-15 04:00,19200.99000000,19211.98000000,19133.16000000,19169.79000000
2022-10-15 08:00,19170.43000000,19179.63000000,19037.39000000,19167.33000000
2022-10-15 12:00,19167.33000000,19199.00000000,19094.01000000,19127.95000000
2022-10-15 16:00,19127.95000000,19163.39000000,19052.00000000,19102.17000000
2022-10-15 20:00,19102.65000000,19131.00000000,18975.18000000,19069.39000000
2022-10-16 00:00,19068.40000000,19170.82000000,19063.74000000,19123.43000000
2022-10-16 04:00,19123.43000000,19162.82000000,19110.35000000,19134.31000000
2022-10-16 08:00,19134.31000000,19195.00000000,19087.37000000,19144.69000000
2022-10-16 12:00,19144.69000000,19172.55000000,19104.16000000,19158.49000000
2022-10-16 16:00,19158.49000000,19383.44000000,19118.40000000,19375.39000000
2022-10-16 20:00,19375.39000000,19425.84000000,19101.00000000,19262.98000000
2022-10-17 00:00,19262.98000000,19309.06000000,19152.03000000,19186.38000000
2022-10-17 04:00,19186.38000000,19318.28000000,19161.03000000,19295.58000000
2022-10-17 08:00,19295.58000000,19545.22000000,19244.03000000,19457.58000000
2022-10-17 12:00,19457.58000000,19676.96000000,19419.60000000,19535.19000000
2022-10-17 16:00,19535.19000000,19592.55000000,19441.87000000,19526.84000000
2022-10-17 20:00,19527.66000000,19626.91000000,19471.80000000,19549.86000000
2022-10-18 00:00,19548.48000000,19624.03000000,19480.00000000,19547.90000000
2022-10-18 04:00,19548.68000000,19706.66000000,19524.37000000,19664.92000000
2022-10-18 08:00,19665.95000000,19673.00000000,19470.00000000,19563.59000000
2022-10-18 12:00,19563.59000000,19680.49000000,19280.11000000,19375.01000000
2022-10-18 16:00,19375.71000000,19442.00000000,19091.00000000,19216.21000000
2022-10-18 20:00,19217.79000000,19433.43000000,19195.44000000,19327.44000000
2022-10-19 00:00,19327.44000000,19360.16000000,19213.99000000,19281.63000000
2022-10-19 04:00,19281.01000000,19308.34000000,19146.80000000,19218.11000000
2022-10-19 08:00,19218.59000000,19281.81000000,19140.01000000,19200.84000000
2022-10-19 12:00,19201.42000000,19301.69000000,19065.97000000,19266.43000000
2022-10-19 16:00,19267.94000000,19279.31000000,19095.00000000,19232.59000000
2022-10-19 20:00,19231.63000000,19249.51000000,19084.23000000,19123.97000000
2022-10-20 00:00,19123.35000000,19165.34000000,18900.00000000,19042.09000000
2022-10-20 04:00,19043.20000000,19210.00000000,19037.66000000,19145.94000000
2022-10-20 08:00,19145.10000000,19253.33000000,19105.99000000,19208.09000000
2022-10-20 12:00,19208.09000000,19347.82000000,19128.24000000,19253.30000000
2022-10-20 16:00,19253.88000000,19256.55000000,18964.02000000,19063.82000000
2022-10-20 20:00,19063.04000000,19098.00000000,18929.38000000,19041.92000000
2022-10-21 00:00,19041.92000000,19131.39000000,18999.00000000,19051.77000000
2022-10-21 04:00,19051.19000000,19084.17000000,18991.69000000,19027.86000000
2022-10-21 08:00,19028.68000000,19041.96000000,18900.00000000,18945.65000000
2022-10-21 12:00,18944.99000000,19174.16000000,18650.00000000,19168.25000000
2022-10-21 16:00,19168.44000000,19250.00000000,19089.00000000,19189.22000000
2022-10-21 20:00,19189.22000000,19249.73000000,19137.68000000,19164.37000000
2022-10-22 00:00,19164.37000000,19183.39000000,19112.72000000,19151.22000000
2022-10-22 04:00,19150.36000000,19177.01000000,19132.71000000,19163.58000000
2022-10-22 08:00,19163.58000000,19188.00000000,19140.00000000,19178.66000000
2022-10-22 12:00,19178.99000000,19257.00000000,19155.00000000,19235.65000000
2022-10-22 16:00,19234.80000000,19248.85000000,19134.00000000,19183.83000000
2022-10-22 20:00,19183.83000000,19224.99000000,19173.79000000,19204.35000000
2022-10-23 00:00,19204.29000000,19219.76000000,19163.32000000,19197.59000000
2022-10-23 04:00,19197.55000000,19221.71000000,19148.01000000,19162.37000000
2022-10-23 08:00,19162.16000000,19188.70000000,19125.63000000,19151.78000000
2022-10-23 12:00,19151.24000000,19213.14000000,19070.11000000,19190.14000000
2022-10-23 16:00,19190.14000000,19553.96000000,19169.18000000,19499.83000000
2022-10-23 20:00,19500.38000000,19695.00000000,19441.96000000,19570.40000000
2022-10-24 00:00,19570.40000000,19601.15000000,19342.33000000,19391.97000000
2022-10-24 04:00,19391.97000000,19392.41000000,19250.59000000,19322.40000000
